gene_name number_of_transposon_per_gene number_of_read_per_gene
THI2 35 584
YBR241C 35 337
YBR242W 17 189
ALG7 1 0
GPX2 11 62
ISW1 57 513
RRT2 14 109
ENP1 2 2
HIS7 22 168
ARO4 15 95
SPO23 35 351
MRPS5 11 70
DUT1 0 0
SRB6 3 3
TRS20 1 0
MTC4 27 263
YBR255C-A 9 27
RIB5 4 30
POP4 1 0
SHG1 5 13
YBR259W 37 276
RGD1 22 196
TAE1 18 74
MIC12 3 8
SHM1 29 296
YPT10 9 29
TSC10 2 7
REI1 20 114
SLM6 4 9
MRPL37 5 14
SDH8 5 36
BIT2 37 340
EFM2 19 214
HSM3 15 160
UBX7 18 116
CHK1 12 59
RIF1 37 364
PPS1 36 279
YBR277C 12 52
DPB3 17 127
PAF1 10 58
SAF1 31 333
DUG2 46 419
MRPL27 9 17
SSH1 18 149
YBR284W 76 952
YBR285W 1 0
APE3 26 213
YBR287W 23 307
APM3 22 152
SNF5 25 221
BSD2 17 85
CTP1 59 790
YBR292C 22 69
VBA2 30 334
SUL1 39 406
PCA1 68 726
PHO89 33 487
YBR296C-A 10 48
MAL33 27 218
MAL31 15 133
YBR298C-A 14 132
MAL32 4 12
YBR300C 8 17
PAU24 2 2
COS2 0 0
YCL076W 3 29
GEX1 6 47
VBA3 2 5
YCL068C 2 1
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 9 46
VAC17 14 125
MRC1 27 214
KRR1 2 7
FYV5 16 93
ADF1 6 28
MIC10 9 50
PRD1 37 334
PEX34 9 32
KAR4 17 90
RDT1 2 4
SPB1 6 17
PBN1 9 70
LRE1 50 554
APA1 21 336
YCL049C 42 311
YCL048W-A 3 6
SPS22 41 501
POF1 27 355
EMC1 42 320
YCL046W 11 19
MGR1 71 922
PDI1 2 1
YCL041C 47 386
YCL042W 55 577
GLK1 133 1979
GID7 89 1039
ATG22 76 624
SRO9 67 723
GFD2 172 2416
GRX1 12 124
LSB5 80 1213
MXR2 44 287
STE50 59 804
RRP7 1 0
HIS4 96 1004
BIK1 182 2913
RNQ1 44 619
FUS1 87 1106
HBN1 40 176
FRM2 55 1109
AGP1 158 2308
YCL023C 60 1222
KCC4 304 4225
YCL022C 99 1582
YCL021W-A 68 868
LEU2 0 0
NFS1 1 0
DCC1 33 329
BUD3 628 9396
YCL012C 69 384
GBP2 137 1982
SGF29 110 1756
ILV6 178 2551
STP22 132 2297
YCL007C 26 411
VMA9 19 118
LDB16 107 1336
PGS1 167 1870
YCL002C 171 2640
RER1 137 804
YCL001W-A 79 359
YCL001W-B 41 678
YCR001W 69 1156
CDC10 18 99
MRPL32 96 2159
YCP4 91 1460
CIT2 180 4068
YCR006C 387 8541
YCR007C 142 2079
SAT4 90 999
RVS161 48 365
ADY2 102 1694
ADP1 222 2655
PGK1 0 0
YCR013C 3 4
POL4 142 1422
YCR015C 70 899
YCR016W 49 391
CWH43 193 2452
SRD1 25 238
YCR018C-A 24 564
MAK32 75 1025
PET18 54 649
MAK31 18 285
HTL1 4 12
HSP30 52 708
YCR022C 55 651
YCR023C 137 2243
SLM5 53 481
YCR024C-B 11 42
PMP1 11 106
YCR025C 76 853
NPP1 119 1334
RHB1 27 199
FEN2 24 125
RIM1 13 37
SYP1 82 784
RPS14A 21 181
BPH1 199 1825
SNT1 40 366
ELO2 25 96
RRP43 0 0
RBK1 47 505
PHO87 65 715
BUD5 35 234
YCR038W-A 2 30
MATALPHA2 3 3
MATALPHA1 0 0
YCR041W 2 13
TAF2 28 480
YCR043C 15 354
PER1 5 14
RRT12 106 1042
YCR045W-A 41 451
IMG1 30 333
BUD23 16 51
YCR047W-A 2 1
YCR049C 18 317
ARE1 74 1063
YCR050C 9 118
YCR051W 17 170
RSC6 6 14
THR4 21 152
CTR86 5 6
PWP2 9 86
YIH1 29 563
TAH1 16 223
YCR061W 158 2073
YCR064C 36 753
BUD31 12 35
HCM1 59 622
RAD18 15 93
SED4 87 738
ATG15 86 736
CPR4 23 263
IMG2 12 53
RSA4 0 0
SSK22 79 929
SOL2 21 177
ERS1 23 349
YCR075W-A 8 46
FUB1 12 80
PAT1 32 295
PTC6 43 399
SRB8 23 128
YCR081C-A 3 11
AHC2 9 50
TRX3 13 130
TUP1 2 3
YCR085W 16 38
CSM1 21 137
YCR087W 12 99
YCR087C-A 12 99
ABP1 62 588
FIG2 52 360
YCR090C 8 29
KIN82 40 568
MSH3 47 367
CDC39 19 100
CDC50 6 12
OCA4 16 58
YCR095W-A 1 0
HMRA2 0 0
HMRA1 20 95
YCR097W-A 3 18
GIT1 28 234
YCR099C 7 30
YCR100C 7 70
YCR101C 6 28
YCR102C 31 422
YCR102W-A 1 0
PAU3 9 51
ADH7 41 443
RDS1 23 247
AAD3 16 86
YCR108C 5 15
COS7 4 20
YDL247W-A 0 0
MPH2 3 20
SOR2 2 2
HXT15 1 0
THI13 12 90
AAD4 19 163
YDL242W 27 369
YDL241W 4 17
YDL240C-A 24 296
LRG1 56 526
ADY3 23 95
GUD1 23 264
AIM6 24 167
PHO13 11 58
YPD1 2 1
GYP7 41 464
MFG1 31 347
OST4 0 0
BRE4 48 488
PTP1 20 199
SSB1 20 262
YDL228C 10 75
HO 90 639
GCS1 5 31
SHS1 23 140
WHI4 16 94
HBT1 70 715
FMP45 28 154
YDL221W 67 1041
CDC13 46 687
DTD1 7 43
YDL218W 29 199
TIM22 2 8
RRI1 23 328
GDH2 63 748
PRR2 51 549
NOP6 13 75
SHR3 5 13
YDL211C 34 287
UGA4 42 351
CWC2 3 6
NHP2 5 11
GLE1 5 16
YDL206W 24 168
HEM3 3 2
RTN2 18 320
ACK1 28 321
MRPL11 8 27
TRM8 23 422
MGT1 8 52
