gene_name number_of_transposon_per_gene number_of_read_per_gene
PDI1 1 0
YCL041C 41 357
YCL042W 39 1411
GLK1 102 3306
GID7 79 2900
ATG22 49 1167
SRO9 36 1691
GFD2 84 3765
GRX1 6 26
LSB5 59 3941
MXR2 19 254
STE50 36 925
RRP7 3 6
HIS4 65 2051
BIK1 139 4310
RNQ1 37 1608
FUS1 60 1694
HBN1 26 290
FRM2 38 1212
AGP1 100 3649
YCL023C 36 1559
KCC4 246 7654
YCL022C 62 2165
YCL021W-A 45 1182
LEU2 0 0
NFS1 1 0
DCC1 15 632
BUD3 483 15616
YCL012C 44 432
GBP2 120 3057
SGF29 77 2526
ILV6 98 2161
STP22 87 2025
YCL007C 14 450
VMA9 3 4
LDB16 92 2831
PGS1 50 1614
YCL002C 132 5154
RER1 105 601
YCL001W-A 53 465
YCL001W-B 39 602
YCR001W 50 1364
CDC10 10 48
MRPL32 48 1660
YCP4 43 1297
CIT2 136 5318
YCR006C 336 14520
YCR007C 108 4004
SAT4 53 1450
RVS161 27 241
ADY2 54 2044
ADP1 164 6262
PGK1 1 0
YCR013C 5 58
POL4 95 2808
YCR015C 59 1844
YCR016W 46 848
CWH43 123 3488
SRD1 24 568
YCR018C-A 14 545
MAK32 60 1771
PET18 44 849
MAK31 15 511
HTL1 1 0
HSP30 46 1431
YCR022C 41 1054
YCR023C 85 3062
SLM5 15 120
YCR024C-B 12 319
PMP1 6 6
YCR025C 72 2156
NPP1 91 2140
RHB1 10 195
FEN2 16 136
RIM1 2 4
SYP1 59 2454
RPS14A 9 104
BPH1 118 2424
SNT1 37 699
ELO2 7 15
RRP43 1 0
RBK1 33 924
PHO87 64 2070
BUD5 26 138
YCR038W-A 3 11
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 1 0
TAF2 16 429
YCR043C 8 219
PER1 2 18
RRT12 69 1783
YCR045W-A 20 345
IMG1 9 43
BUD23 9 75
YCR047W-A 1 0
YCR049C 13 570
ARE1 71 3359
YCR050C 5 73
YCR051W 21 581
RSC6 3 34
THR4 12 216
CTR86 9 210
PWP2 2 12
YIH1 23 662
TAH1 7 68
YCR061W 114 2787
YCR064C 42 2341
BUD31 3 2
HCM1 47 1008
RAD18 5 15
SED4 55 1000
ATG15 75 1963
CPR4 14 345
IMG2 1 0
RSA4 0 0
SSK22 51 1323
SOL2 23 586
ERS1 14 463
YCR075W-A 5 35
FUB1 14 176
PAT1 12 111
PTC6 26 623
SRB8 12 137
YCR081C-A 2 3
AHC2 5 25
TRX3 6 144
TUP1 3 2
YCR085W 11 81
CSM1 11 139
YCR087W 9 516
YCR087C-A 9 516
ABP1 40 609
FIG2 50 777
YCR090C 4 75
KIN82 33 1903
MSH3 44 1232
CDC39 14 247
CDC50 6 46
OCA4 11 287
YCR095W-A 2 5
HMRA2 0 0
HMRA1 17 59
YCR097W-A 2 1
GIT1 28 514
YCR099C 2 9
YCR100C 4 24
YCR101C 9 84
YCR102C 11 190
YCR102W-A 1 0
PAU3 7 28
ADH7 21 575
RDS1 25 1120
AAD3 10 295
YCR108C 5 26
COS7 3 24
YDL247W-A 1 0
MPH2 6 107
SOR2 0 0
HXT15 3 67
THI13 12 105
AAD4 24 729
YDL242W 16 412
YDL241W 3 2
YDL240C-A 14 276
LRG1 38 765
ADY3 16 283
GUD1 28 569
AIM6 11 89
PHO13 10 196
YPD1 1 0
GYP7 25 774
MFG1 15 194
OST4 0 0
BRE4 36 863
PTP1 14 358
SSB1 13 143
YDL228C 6 17
HO 66 565
GCS1 8 81
SHS1 13 227
WHI4 12 147
HBT1 45 855
FMP45 15 218
YDL221W 47 1970
CDC13 38 1838
DTD1 2 6
YDL218W 17 285
TIM22 1 0
RRI1 22 1081
GDH2 48 2223
PRR2 43 945
NOP6 6 113
SHR3 1 0
YDL211C 34 444
UGA4 24 663
CWC2 0 0
NHP2 3 2
GLE1 3 4
YDL206W 18 153
HEM3 0 0
RTN2 14 549
ACK1 16 220
MRPL11 5 10
TRM8 15 250
MGT1 13 343
YDL199C 24 490
GGC1 14 76
ASF2 32 945
YDL196W 29 651
