gene_name number_of_transposon_per_gene number_of_read_per_gene
DER1 18 516
YBR201C-A 3 10
MCM7 6 12
COS111 12 346
LDH1 20 817
KTR3 29 624
YBR206W 14 203
FTH1 22 374
DUR1,2 64 2002
YBR209W 38 909
ERV15 6 93
AME1 3 77
NGR1 22 688
MET8 37 1175
SDS24 23 617
HPC2 12 277
YBP1 16 556
ATG12 4 9
PYC2 48 2045
YBR219C 49 321
YBR220C 31 696
PDB1 17 337
YBR221W-A 16 412
PCS60 89 2130
TDP1 75 2199
YBR223W-A 10 227
YBR224W 21 421
YBR225W 30 558
YBR226C 5 15
MCX1 23 103
SLX1 14 176
ROT2 28 866
OM14 19 332
YBR230W-A 5 33
SWC5 19 155
YBR232C 14 235
PBP2 43 729
DAD3 3 2
ARC40 0 0
VHC1 41 1373
ABD1 0 0
PRP5 1 0
YBR238C 18 1632
ERT1 61 2570
THI2 50 1512
YBR241C 55 2512
YBR242W 19 331
ALG7 2 1
GPX2 8 46
ISW1 51 2013
RRT2 12 166
ENP1 1 0
HIS7 24 451
ARO4 8 51
SPO23 28 646
MRPS5 5 10
DUT1 0 0
SRB6 2 2
TRS20 0 0
MTC4 20 522
YBR255C-A 10 118
RIB5 2 9
POP4 0 0
SHG1 5 46
YBR259W 26 399
RGD1 31 500
TAE1 12 213
MIC12 1 0
SHM1 32 581
YPT10 13 240
TSC10 3 36
REI1 14 321
SLM6 6 13
MRPL37 2 4
SDH8 3 25
BIT2 35 547
EFM2 16 229
HSM3 20 260
UBX7 18 579
CHK1 21 180
RIF1 31 796
PPS1 38 1292
YBR277C 25 359
DPB3 14 479
PAF1 6 33
SAF1 9 273
DUG2 46 1035
MRPL27 3 14
SSH1 14 103
YBR284W 75 2296
YBR285W 2 10
APE3 19 603
YBR287W 23 964
APM3 17 135
SNF5 19 159
BSD2 14 206
CTP1 62 2830
YBR292C 18 91
VBA2 22 376
SUL1 31 766
PCA1 92 3374
PHO89 33 1763
YBR296C-A 11 75
MAL33 34 851
MAL31 24 763
YBR298C-A 12 211
MAL32 6 274
YBR300C 12 54
PAU24 1 0
COS2 1 0
YCL076W 3 121
GEX1 5 4
VBA3 1 0
YCL068C 3 2
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 10 554
VAC17 18 259
MRC1 33 534
KRR1 1 0
FYV5 12 419
ADF1 4 133
MIC10 7 69
PRD1 48 1899
PEX34 6 64
KAR4 11 422
RDT1 0 0
SPB1 8 205
PBN1 9 118
LRE1 54 2817
APA1 11 377
YCL049C 34 735
YCL048W-A 4 22
SPS22 39 1029
POF1 24 1411
EMC1 34 452
YCL046W 10 79
MGR1 32 462
PDI1 1 0
YCL041C 48 228
YCL042W 42 1114
GLK1 112 5797
GID7 73 2336
ATG22 61 2295
SRO9 46 988
GFD2 147 6038
GRX1 17 523
LSB5 71 3451
MXR2 31 462
STE50 53 1958
RRP7 5 7
HIS4 86 1942
BIK1 184 5794
RNQ1 50 1847
FUS1 91 4605
HBN1 33 272
FRM2 51 2417
AGP1 116 4563
YCL023C 47 1666
KCC4 307 13094
YCL022C 91 4261
YCL021W-A 50 1170
LEU2 0 0
NFS1 1 0
DCC1 33 416
BUD3 610 24060
YCL012C 66 757
GBP2 161 5791
SGF29 101 3700
ILV6 157 5264
STP22 112 3980
YCL007C 22 623
VMA9 14 47
LDB16 77 1838
PGS1 56 1698
YCL002C 165 4825
RER1 106 558
YCL001W-A 66 338
YCL001W-B 35 584
YCR001W 59 1712
CDC10 10 63
MRPL32 58 3284
YCP4 71 1928
CIT2 207 10071
YCR006C 371 15520
YCR007C 124 3688
SAT4 67 1379
RVS161 16 127
ADY2 78 3471
ADP1 175 7965
PGK1 4 68
YCR013C 6 527
POL4 129 2914
YCR015C 57 1944
YCR016W 60 1546
CWH43 155 3745
SRD1 33 528
YCR018C-A 17 689
MAK32 61 2260
PET18 44 1132
MAK31 13 110
HTL1 3 7
HSP30 49 2996
YCR022C 37 1710
YCR023C 109 4353
SLM5 25 281
YCR024C-B 10 121
PMP1 5 19
YCR025C 72 1592
NPP1 90 1646
RHB1 17 71
FEN2 45 1298
RIM1 5 10
SYP1 62 2094
RPS14A 23 450
BPH1 128 2714
SNT1 40 1408
ELO2 12 271
RRP43 0 0
RBK1 39 742
PHO87 67 1295
BUD5 36 545
YCR038W-A 3 188
MATALPHA2 1 0
MATALPHA1 0 0
YCR041W 1 0
TAF2 9 80
YCR043C 15 321
PER1 0 0
RRT12 90 2163
YCR045W-A 44 647
IMG1 21 440
BUD23 13 75
YCR047W-A 3 2
YCR049C 23 767
ARE1 86 3542
YCR050C 14 186
YCR051W 26 1159
RSC6 7 39
THR4 14 231
CTR86 9 475
PWP2 8 226
YIH1 34 1141
TAH1 6 78
YCR061W 133 5509
YCR064C 40 1907
BUD31 11 40
HCM1 71 2025
RAD18 21 506
SED4 67 1483
ATG15 65 1165
CPR4 25 387
IMG2 7 89
RSA4 0 0
SSK22 74 1662
SOL2 21 392
ERS1 21 653
YCR075W-A 3 27
FUB1 17 424
PAT1 14 120
PTC6 29 901
SRB8 63 1335
YCR081C-A 2 8
AHC2 15 332
TRX3 8 101
