gene_name number_of_transposon_per_gene number_of_read_per_gene
APM3 13 96
SNF5 11 34
BSD2 13 154
CTP1 24 292
YBR292C 17 42
VBA2 21 180
SUL1 29 248
PCA1 42 853
PHO89 17 356
YBR296C-A 11 64
MAL33 24 163
MAL31 14 231
YBR298C-A 7 23
MAL32 5 34
YBR300C 4 10
PAU24 1 0
COS2 0 0
YCL076W 2 1
GEX1 4 18
VBA3 1 0
YCL068C 0 0
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 8 71
VAC17 16 108
MRC1 23 169
KRR1 3 2
FYV5 12 86
ADF1 2 2
MIC10 13 134
PRD1 31 553
PEX34 7 84
KAR4 13 116
RDT1 1 0
SPB1 8 37
PBN1 8 29
LRE1 38 546
APA1 14 156
YCL049C 32 292
YCL048W-A 2 8
SPS22 38 838
POF1 19 313
EMC1 31 402
YCL046W 2 12
MGR1 30 360
PDI1 5 6
YCL041C 28 91
YCL042W 38 711
GLK1 88 2008
GID7 61 1210
ATG22 29 254
SRO9 42 627
GFD2 88 2150
GRX1 11 215
LSB5 42 784
MXR2 28 188
STE50 39 826
RRP7 1 0
HIS4 59 925
BIK1 122 1962
RNQ1 33 1270
FUS1 51 776
HBN1 22 71
FRM2 28 363
AGP1 83 1660
YCL023C 36 1082
KCC4 148 2512
YCL022C 49 812
YCL021W-A 49 653
LEU2 0 0
NFS1 0 0
DCC1 21 376
BUD3 364 7029
YCL012C 31 122
GBP2 84 902
SGF29 71 1457
ILV6 91 1373
STP22 87 1574
YCL007C 10 347
VMA9 3 2
LDB16 86 1359
PGS1 99 1667
YCL002C 91 1432
RER1 67 255
YCL001W-A 41 127
YCL001W-B 22 362
YCR001W 32 504
CDC10 6 19
MRPL32 59 1091
YCP4 36 559
CIT2 133 3682
YCR006C 257 5374
YCR007C 77 865
SAT4 30 364
RVS161 28 143
ADY2 67 1203
ADP1 135 2923
PGK1 2 1
YCR013C 3 53
POL4 84 1225
YCR015C 40 685
YCR016W 31 253
CWH43 110 1550
SRD1 13 37
YCR018C-A 16 346
MAK32 64 1352
PET18 32 707
MAK31 18 139
HTL1 1 0
HSP30 20 397
YCR022C 51 999
YCR023C 65 1137
SLM5 36 580
YCR024C-B 5 20
PMP1 2 8
YCR025C 48 969
NPP1 99 1004
RHB1 13 118
FEN2 5 10
RIM1 5 9
SYP1 54 780
RPS14A 12 101
BPH1 102 1550
SNT1 27 347
ELO2 9 27
RRP43 0 0
RBK1 32 465
PHO87 51 828
BUD5 31 205
YCR038W-A 2 4
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 4 6
TAF2 15 107
YCR043C 7 126
PER1 2 1
RRT12 57 920
YCR045W-A 24 153
IMG1 14 192
BUD23 6 8
YCR047W-A 0 0
YCR049C 12 369
ARE1 43 1049
YCR050C 5 39
YCR051W 10 154
RSC6 1 0
THR4 4 57
CTR86 5 70
PWP2 4 15
YIH1 19 382
TAH1 7 109
YCR061W 142 2555
YCR064C 30 542
BUD31 7 9
HCM1 57 871
RAD18 10 139
SED4 50 905
ATG15 45 386
CPR4 23 531
IMG2 8 125
RSA4 1 0
SSK22 54 1076
SOL2 19 146
ERS1 17 281
YCR075W-A 3 4
FUB1 11 330
PAT1 11 72
PTC6 28 350
SRB8 14 45
YCR081C-A 0 0
AHC2 6 5
TRX3 2 1
TUP1 2 1
YCR085W 8 26
CSM1 5 70
YCR087W 5 22
YCR087C-A 4 14
ABP1 40 490
FIG2 44 572
YCR090C 12 135
KIN82 22 308
MSH3 40 346
CDC39 12 78
CDC50 3 6
OCA4 18 71
YCR095W-A 5 63
HMRA2 0 0
HMRA1 9 17
YCR097W-A 0 0
GIT1 18 169
YCR099C 3 19
YCR100C 9 37
YCR101C 6 63
YCR102C 22 259
YCR102W-A 1 0
PAU3 4 20
ADH7 29 365
RDS1 17 174
AAD3 13 38
YCR108C 14 181
COS7 3 22
YDL247W-A 0 0
MPH2 0 0
SOR2 0 0
HXT15 4 10
THI13 8 33
AAD4 11 233
YDL242W 12 184
YDL241W 3 8
YDL240C-A 20 109
LRG1 23 464
ADY3 22 210
GUD1 18 199
AIM6 15 139
PHO13 7 101
YPD1 0 0
GYP7 25 366
MFG1 8 80
OST4 0 0
BRE4 25 155
PTP1 20 189
SSB1 10 40
YDL228C 2 2
HO 45 329
GCS1 4 12
SHS1 13 67
WHI4 19 138
HBT1 46 557
FMP45 13 84
YDL221W 50 1058
CDC13 41 911
DTD1 1 0
YDL218W 7 28
TIM22 1 0
RRI1 14 396
GDH2 60 1122
PRR2 20 403
NOP6 7 61
SHR3 3 2
YDL211C 33 217
UGA4 16 242
CWC2 3 18
NHP2 2 2
GLE1 5 28
YDL206W 25 466
HEM3 0 0
RTN2 9 128
ACK1 9 59
MRPL11 9 52
TRM8 5 33
MGT1 13 97
YDL199C 9 77
GGC1 11 98
ASF2 25 179
YDL196W 36 298
SEC31 2 1
SNF3 16 66
NUS1 0 0
ARF1 13 195
RPL35A 1 0
UFD2 23 232
RBS1 8 37
PPH22 7 48
YDL187C 6 16
YDL186W 7 82
YDL185C-A 6 22
VMA1 0 0
RPL41A 1 0
YDL183C 23 199
LYS20 16 336
INH1 2 17
YDL180W 11 47
PCL9 9 44
DLD2 28 446
YDL177C 4 15
YDL176W 16 203
AIR2 19 166
DLD1 19 290
PAR32 3 9
YDL172C 1 0
GLT1 71 1109
UGA3 24 201
UGX2 8 61
SFA1 12 99
NRP1 22 454
FAP7 0 0
CDC36 0 0
CDC9 4 37
YDL163W 4 37
YDL162C 23 358
ENT1 9 201
MHF2 6 70
DHH1 6 31
YDL159W-A 3 4
STE7 24 613
YDL159C-B 3 122
YDL158C 2 3
YDL157C 7 16
CMR1 38 662
CLB3 12 233
MSH5 38 734
SAS10 0 0
YDL152W 11 263
BUD30 0 0
RPC53 1 0
ATG9 12 84
NOP14 6 8
RPN5 0 0
LDB17 11 85
COP1 3 5
YDL144C 12 236
CCT4 1 0
CRD1 18 235
BPL1 2 1
RPO21 2 1
SCM3 1 0
RGT2 32 450
ARF2 17 180
RPL35B 2 1
RDI1 15 236
PPH21 10 160
RPL41B 0 0
SRF1 15 111
CDC53 0 0
LYS21 12 267
STF1 4 5
RPP1B 9 153
YDL129W 15 116
VCX1 18 411
PCL2 29 732
CDC48 1 0
HNT1 6 30
YDL124W 12 162
SNA4 7 37
UBP1 17 204
YDL121C 6 129
YFH1 0 0
YDL119C 8 40
YDL118W 2 1
CYK3 24 200
NUP84 4 4
IWR1 18 168
YDL114W-A 0 0
YDL114W 14 131
ATG20 17 167
TRM3 41 450
RRP42 0 0
TMA17 7 137
YDL109C 35 378
KIN28 1 0
MSS2 25 407
PHO2 30 604
NSE4 0 0
QRI7 21 114
QRI1 4 6
POL3 6 112
DUN1 10 42
GET3 9 73
BUG1 5 17
SNU23 2 1
RPN6 2 1
OPI6 5 100
PMT1 25 330
YDL094C 24 249
PMT5 35 520
SRP14 13 412
UBX3 15 103
RAM1 5 8
NUR1 23 314
ASM4 18 210
LUC7 8 37
YDL086W 26 437
YDL086C-A 18 246
YDL085C-A 7 109
NDE2 20 332
SUB2 4 4
RPS16B 9 48
RPL13A 8 65
RPP1A 1 0
THI3 17 242
MRK1 27 607
MDH3 14 50
VAM6 4 48
RXT3 12 110
RPL31A 2 7
BRE1 5 40
YDL073W 41 828
YET3 5 54
YDL071C 30 186
BDF2 22 157
CBS1 17 383
YDL068W 7 84
COX9 1 0
IDP1 22 310
PEX19 10 110
UBC9 0 0
SYO1 20 276
YDL062W 4 5
RPS29B 2 1
TSR1 1 0
RAD59 14 42
USO1 24 303
YDL057W 26 491
MBP1 27 293
PSA1 1 0
MCH1 43 1214
PBP4 12 42
SLC1 32 389
LHP1 26 353
YDL050C 9 152
KNH1 35 523
STP4 63 926
SIT4 6 63
NPC2 10 34
MRP10 4 3
FAD1 2 1
MTF2 17 152
PRP11 5 9
SIR2 48 604
YDL041W 28 417
NAT1 26 382
PRM7 23 438
BSC1 17 230
PUS9 27 308
GPR1 30 295
YDL034W 4 81
SLM3 56 574
YDL032W 9 66
DBP10 2 1
PRP9 8 17
ARP2 0 0
MPS1 8 162
YDL027C 26 141
YDL026W 13 87
RTK1 27 173
YDL025W-A 1 0
DIA3 37 447
YDL022C-A 28 560
YDL023C 16 118
GPD1 45 663
GPM2 38 746
RPN4 34 263
OSH2 130 2538
ERP3 12 259
CDC7 11 193
YDL016C 15 278
TSC13 0 0
NOP1 2 1
SLX5 14 39
YDL012C 42 814
YDL011C 28 298
GRX6 45 606
YDL009C 14 54
APC11 10 208
YDL007C-A 17 254
RPT2 1 0
PTC1 9 61
MED2 25 99
ATP16 19 191
MCD1 9 155
NHP10 59 1352
RMD1 191 6444
NTH1 242 6381
YRB1 2 2
RCR2 90 1556
