gene_name number_of_transposon_per_gene number_of_read_per_gene
CIT2 244 6712
YCR006C 393 10350
YCR007C 116 1415
SAT4 96 1120
RVS161 21 166
ADY2 84 1511
ADP1 202 3420
PGK1 3 57
YCR013C 6 144
POL4 129 1604
YCR015C 56 830
YCR016W 47 532
CWH43 139 2507
SRD1 20 100
YCR018C-A 20 588
MAK32 84 1250
PET18 54 996
MAK31 6 52
HTL1 1 0
HSP30 64 1568
YCR022C 48 739
YCR023C 142 2639
SLM5 4 10
YCR024C-B 12 120
PMP1 7 24
YCR025C 81 1017
NPP1 117 1738
RHB1 19 78
FEN2 22 182
RIM1 0 0
SYP1 103 1798
RPS14A 19 131
BPH1 142 1533
SNT1 74 1456
ELO2 17 87
RRP43 1 0
RBK1 46 561
PHO87 63 982
BUD5 37 233
YCR038W-A 4 8
MATALPHA2 1 0
MATALPHA1 0 0
YCR041W 2 2
TAF2 13 191
YCR043C 21 327
PER1 1 0
RRT12 83 1295
YCR045W-A 24 240
IMG1 7 15
BUD23 9 17
YCR047W-A 0 0
YCR049C 20 567
ARE1 84 2062
YCR050C 9 220
YCR051W 21 300
RSC6 6 26
THR4 11 90
CTR86 15 97
PWP2 9 117
YIH1 33 549
TAH1 8 81
YCR061W 176 3041
YCR064C 49 1286
BUD31 18 60
HCM1 64 824
RAD18 22 151
SED4 87 844
ATG15 92 1022
CPR4 27 404
IMG2 2 1
RSA4 0 0
SSK22 103 1656
SOL2 29 454
ERS1 17 160
YCR075W-A 2 11
FUB1 16 163
PAT1 16 202
PTC6 30 526
SRB8 123 1829
YCR081C-A 22 197
AHC2 17 197
TRX3 13 68
TUP1 3 21
YCR085W 11 44
CSM1 11 58
YCR087W 13 256
YCR087C-A 12 190
ABP1 74 1066
FIG2 48 271
YCR090C 7 144
KIN82 47 843
MSH3 51 326
CDC39 22 201
CDC50 4 7
OCA4 27 278
YCR095W-A 5 8
HMRA2 0 0
HMRA1 1 0
YCR097W-A 1 0
GIT1 31 310
YCR099C 3 75
YCR100C 8 57
YCR101C 5 28
YCR102C 39 412
YCR102W-A 2 1
PAU3 10 52
ADH7 50 729
RDS1 31 201
AAD3 14 48
YCR108C 10 63
COS7 7 124
YDL247W-A 0 0
MPH2 3 6
SOR2 3 2
HXT15 5 55
THI13 11 75
AAD4 33 726
YDL242W 19 379
YDL241W 2 3
YDL240C-A 25 234
LRG1 51 877
ADY3 25 184
GUD1 26 413
AIM6 22 104
PHO13 18 186
YPD1 1 0
GYP7 51 579
MFG1 29 333
OST4 0 0
BRE4 44 521
PTP1 31 506
SSB1 14 85
YDL228C 7 32
HO 97 1114
GCS1 12 78
SHS1 21 234
WHI4 27 203
HBT1 80 1022
FMP45 17 116
YDL221W 84 1586
CDC13 64 1210
DTD1 13 67
YDL218W 28 315
TIM22 1 0
RRI1 27 426
GDH2 76 1411
PRR2 55 739
NOP6 28 325
SHR3 2 2
YDL211C 53 648
UGA4 52 732
CWC2 1 0
NHP2 3 11
GLE1 9 100
YDL206W 47 518
HEM3 1 0
RTN2 25 442
ACK1 36 430
MRPL11 1 0
TRM8 24 285
MGT1 20 306
YDL199C 28 424
GGC1 3 8
ASF2 48 386
YDL196W 44 899
SEC31 1 0
SNF3 31 299
NUS1 1 0
ARF1 8 63
RPL35A 1 0
UFD2 44 579
RBS1 19 154
PPH22 19 237
YDL187C 15 65
YDL186W 18 126
YDL185C-A 8 41
VMA1 4 3
