gene_name number_of_transposon_per_gene number_of_read_per_gene
YBR238C 23 802
ERT1 62 1589
THI2 51 1559
YBR241C 63 1745
YBR242W 15 509
ALG7 2 1
GPX2 17 99
ISW1 41 975
RRT2 11 154
ENP1 0 0
HIS7 22 383
ARO4 27 732
SPO23 23 521
MRPS5 4 29
DUT1 3 13
SRB6 3 8
TRS20 0 0
MTC4 26 760
YBR255C-A 9 315
RIB5 0 0
POP4 0 0
SHG1 4 6
YBR259W 39 775
RGD1 27 894
TAE1 14 249
MIC12 4 82
SHM1 16 183
YPT10 12 125
TSC10 2 2
REI1 9 60
SLM6 0 0
MRPL37 1 0
SDH8 10 565
BIT2 40 934
EFM2 20 377
HSM3 10 73
UBX7 22 337
CHK1 21 342
RIF1 69 1957
PPS1 38 1021
YBR277C 14 234
DPB3 10 153
PAF1 3 22
SAF1 29 438
DUG2 35 906
MRPL27 4 6
SSH1 12 252
YBR284W 58 1709
YBR285W 2 1
APE3 37 1337
YBR287W 38 992
APM3 10 120
SNF5 24 389
BSD2 7 51
CTP1 55 1860
YBR292C 26 123
VBA2 23 526
SUL1 42 452
PCA1 74 2252
PHO89 36 1088
YBR296C-A 11 236
MAL33 65 962
MAL31 33 1117
YBR298C-A 22 449
MAL32 7 79
YBR300C 11 72
PAU24 1 0
COS2 0 0
YCL076W 2 134
GEX1 2 1
VBA3 3 2
YCL068C 5 53
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 1 0
CHA1 11 245
VAC17 18 170
MRC1 42 511
KRR1 2 1
FYV5 18 372
ADF1 7 45
MIC10 8 84
PRD1 47 1716
PEX34 6 81
KAR4 15 420
RDT1 2 23
SPB1 2 2
PBN1 3 17
LRE1 46 1177
APA1 14 605
YCL049C 47 2410
YCL048W-A 6 23
SPS22 35 1293
POF1 17 266
EMC1 29 829
YCL046W 9 58
MGR1 28 461
PDI1 3 6
YCL041C 34 228
YCL042W 30 538
GLK1 117 9484
GID7 82 2458
ATG22 34 353
SRO9 42 1756
GFD2 88 3364
GRX1 15 178
LSB5 58 2629
MXR2 21 274
STE50 39 1126
RRP7 2 17
HIS4 93 3505
BIK1 92 3189
RNQ1 35 1664
FUS1 68 2184
HBN1 27 214
FRM2 39 1065
AGP1 127 4775
YCL023C 52 1607
KCC4 212 7348
YCL022C 62 1206
YCL021W-A 38 778
LEU2 73 2273
NFS1 3 18
DCC1 16 188
BUD3 480 15763
YCL012C 59 408
GBP2 114 2743
SGF29 74 2770
ILV6 98 1960
STP22 61 2165
YCL007C 14 451
VMA9 11 64
LDB16 66 1333
PGS1 15 613
YCL002C 112 2002
RER1 67 231
YCL001W-A 48 200
YCL001W-B 29 672
YCR001W 36 1255
CDC10 5 14
MRPL32 19 515
YCP4 45 1271
CIT2 208 11506
YCR006C 276 8347
YCR007C 107 2625
SAT4 119 6162
RVS161 26 393
ADY2 99 2841
ADP1 201 7289
PGK1 2 2
YCR013C 2 2
POL4 121 4462
YCR015C 55 2339
YCR016W 34 599
CWH43 60 1709
SRD1 16 173
YCR018C-A 12 554
MAK32 67 2750
PET18 39 1083
MAK31 10 91
HTL1 3 3
HSP30 42 908
YCR022C 37 749
YCR023C 113 3852
SLM5 7 29
YCR024C-B 7 61
PMP1 5 51
YCR025C 75 2699
NPP1 116 3690
RHB1 8 319
FEN2 12 149
RIM1 0 0
SYP1 67 1952
