gene_name number_of_transposon_per_gene number_of_read_per_gene
YBR226C 9 28
MCX1 30 207
SLX1 24 332
ROT2 27 296
OM14 18 132
YBR230W-A 8 49
SWC5 22 169
YBR232C 18 133
PBP2 47 513
DAD3 0 0
ARC40 0 0
VHC1 61 767
ABD1 2 1
PRP5 1 0
YBR238C 36 307
ERT1 104 1883
THI2 36 569
YBR241C 62 931
YBR242W 11 196
ALG7 0 0
GPX2 16 185
ISW1 48 711
RRT2 13 192
ENP1 0 0
HIS7 34 254
ARO4 19 116
SPO23 45 486
MRPS5 8 56
DUT1 1 0
SRB6 4 51
TRS20 0 0
MTC4 28 344
YBR255C-A 13 45
RIB5 4 5
POP4 0 0
SHG1 8 34
YBR259W 39 496
RGD1 22 214
TAE1 16 164
MIC12 5 37
SHM1 34 345
YPT10 15 163
TSC10 5 17
REI1 15 72
SLM6 5 12
MRPL37 1 0
SDH8 9 45
BIT2 39 352
EFM2 14 214
HSM3 23 334
UBX7 37 280
CHK1 12 176
RIF1 36 307
PPS1 36 704
YBR277C 25 210
DPB3 19 168
PAF1 11 154
SAF1 30 317
DUG2 37 266
MRPL27 6 19
SSH1 16 183
YBR284W 90 1323
YBR285W 2 1
APE3 31 425
YBR287W 29 263
APM3 26 373
SNF5 27 173
BSD2 19 158
CTP1 72 1137
YBR292C 26 145
VBA2 25 164
SUL1 43 714
PCA1 77 925
PHO89 44 601
YBR296C-A 16 142
MAL33 39 419
MAL31 23 291
YBR298C-A 13 260
MAL32 12 218
YBR300C 13 54
PAU24 3 3
COS2 3 2
YCL076W 5 58
GEX1 8 12
VBA3 6 7
YCL068C 3 2
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 1 0
CHA1 4 97
VAC17 21 142
MRC1 31 205
KRR1 4 62
FYV5 16 244
ADF1 3 3
MIC10 15 151
PRD1 31 434
PEX34 10 53
KAR4 14 160
RDT1 2 1
SPB1 6 67
PBN1 10 128
LRE1 61 1054
APA1 26 518
YCL049C 36 330
YCL048W-A 7 50
SPS22 50 1588
POF1 20 293
EMC1 47 869
YCL046W 10 55
MGR1 78 939
PDI1 5 13
YCL041C 54 435
YCL042W 36 906
GLK1 143 2755
GID7 105 2078
ATG22 61 651
SRO9 66 1108
GFD2 167 4286
GRX1 17 254
LSB5 70 1457
MXR2 43 389
STE50 68 1806
RRP7 3 3
HIS4 80 1509
BIK1 215 3408
RNQ1 62 1446
FUS1 117 2300
HBN1 46 268
FRM2 62 1235
AGP1 178 4073
YCL023C 72 1624
KCC4 362 6792
YCL022C 104 2568
YCL021W-A 69 1497
LEU2 0 0
NFS1 6 32
DCC1 32 298
BUD3 676 13184
YCL012C 76 650
GBP2 180 2937
SGF29 119 2643
ILV6 195 4070
STP22 78 2060
YCL007C 24 548
VMA9 11 37
LDB16 111 1741
PGS1 66 1595
YCL002C 170 2759
RER1 92 312
YCL001W-A 69 315
YCL001W-B 42 610
YCR001W 77 1185
CDC10 34 206
MRPL32 72 2089
YCP4 94 1849
CIT2 205 4633
YCR006C 432 11601
YCR007C 141 2529
SAT4 119 2163
RVS161 19 91
ADY2 125 2267
ADP1 212 3891
PGK1 3 25
YCR013C 7 112
POL4 141 1973
YCR015C 86 1474
YCR016W 65 643
CWH43 160 2032
SRD1 20 228
YCR018C-A 18 399
MAK32 95 2420
PET18 58 1011
MAK31 11 175
HTL1 3 2
HSP30 59 1531
YCR022C 58 841
YCR023C 148 2588
SLM5 38 327
YCR024C-B 13 186
PMP1 9 56
YCR025C 89 1420
NPP1 145 1934
RHB1 26 127
FEN2 25 336
RIM1 14 65
SYP1 89 1157
RPS14A 22 249
BPH1 216 2085
SNT1 45 535
ELO2 12 74
RRP43 0 0
RBK1 44 437
PHO87 79 1465
BUD5 40 273
YCR038W-A 5 57
MATALPHA2 2 1
MATALPHA1 0 0
YCR041W 6 29
TAF2 16 122
YCR043C 13 440
PER1 2 1
RRT12 113 1475
YCR045W-A 47 398
IMG1 32 265
BUD23 13 31
YCR047W-A 1 0
YCR049C 25 573
ARE1 80 1942
YCR050C 12 100
YCR051W 26 362
RSC6 6 22
THR4 18 227
CTR86 7 19
PWP2 9 73
YIH1 49 1060
TAH1 8 111
YCR061W 213 3865
YCR064C 46 1215
BUD31 11 48
HCM1 69 711
RAD18 17 107
SED4 104 1484
ATG15 118 1598
CPR4 28 446
IMG2 14 182
RSA4 0 0
SSK22 91 1034
SOL2 31 391
ERS1 27 495
YCR075W-A 5 30
FUB1 14 394
PAT1 22 156
PTC6 46 707
SRB8 28 231
YCR081C-A 5 46
AHC2 9 56
TRX3 12 77
TUP1 2 1
YCR085W 19 36
CSM1 29 331
YCR087W 7 151
YCR087C-A 7 151
ABP1 67 798
FIG2 56 561
YCR090C 9 35
KIN82 34 850
MSH3 55 488
CDC39 20 92
CDC50 7 37
OCA4 15 234
YCR095W-A 1 0
HMRA2 0 0
HMRA1 27 201
YCR097W-A 3 4
GIT1 39 385
YCR099C 7 58
YCR100C 10 101
YCR101C 11 206
YCR102C 38 519
YCR102W-A 5 30
PAU3 10 80
ADH7 37 703
RDS1 34 628
AAD3 21 254
YCR108C 11 120
COS7 3 9
YDL247W-A 0 0
MPH2 1 0
SOR2 1 0
HXT15 6 23
THI13 5 140
AAD4 32 621
YDL242W 14 246
YDL241W 5 14
YDL240C-A 24 371
LRG1 55 606
ADY3 29 270
GUD1 30 582
AIM6 24 258
PHO13 11 70
YPD1 4 12
GYP7 41 644
MFG1 29 277
OST4 0 0
BRE4 48 573
PTP1 41 446
SSB1 15 153
YDL228C 10 80
HO 104 1109
GCS1 12 115
SHS1 39 321
WHI4 14 212
HBT1 70 878
FMP45 16 113
YDL221W 90 1847
CDC13 65 1255
DTD1 15 61
YDL218W 17 162
TIM22 3 6
RRI1 31 417
GDH2 66 1116
PRR2 68 1280
NOP6 17 292
SHR3 3 3
YDL211C 51 409
UGA4 47 813
CWC2 2 4
NHP2 3 2
GLE1 8 73
YDL206W 35 392
HEM3 0 0
RTN2 27 378
ACK1 31 204
MRPL11 6 12
TRM8 18 208
MGT1 24 366
YDL199C 25 311
GGC1 9 39
ASF2 63 553
YDL196W 41 594
SEC31 1 0
SNF3 33 238
NUS1 2 1
ARF1 12 82
RPL35A 2 1
UFD2 60 774
RBS1 32 206
PPH22 23 265
YDL187C 9 32
YDL186W 11 54
YDL185C-A 9 88
VMA1 2 3
RPL41A 0 0
YDL183C 31 319
LYS20 37 555
INH1 11 56
YDL180W 30 251
PCL9 18 156
DLD2 58 934
YDL177C 15 239
YDL176W 40 540
AIR2 26 252
DLD1 49 828
PAR32 21 273
YDL172C 11 126
GLT1 139 2463
UGA3 43 639
UGX2 13 109
SFA1 29 383
NRP1 40 422
FAP7 0 0
CDC36 2 1
CDC9 10 82
YDL163W 9 81
YDL162C 38 529
ENT1 23 321
MHF2 5 14
DHH1 7 81
YDL159W-A 12 109
STE7 32 851
YDL159C-B 3 15
YDL158C 2 9
YDL157C 12 87
CMR1 79 1265
CLB3 23 390
MSH5 63 684
SAS10 3 9
YDL152W 14 100
BUD30 4 11
RPC53 4 11
ATG9 34 312
NOP14 17 166
RPN5 2 12
LDB17 18 56
COP1 2 10
YDL144C 42 730
CCT4 1 0
CRD1 35 1087
BPL1 3 3
RPO21 9 52
SCM3 2 2
RGT2 52 672
ARF2 24 343
RPL35B 3 2
RDI1 17 156
PPH21 21 278
RPL41B 2 1
SRF1 32 235
CDC53 5 5
LYS21 26 202
STF1 12 55
RPP1B 14 218
YDL129W 22 194
VCX1 38 435
PCL2 62 1178
CDC48 1 0
HNT1 25 223
YDL124W 30 436
SNA4 19 272
UBP1 43 401
YDL121C 18 274
YFH1 2 3
YDL119C 20 155
YDL118W 9 61
CYK3 55 589
NUP84 5 33
IWR1 36 494
YDL114W-A 0 0
YDL114W 35 379
ATG20 35 424
TRM3 89 1287
RRP42 1 0
TMA17 20 368
YDL109C 59 1106
KIN28 3 9
MSS2 42 539
PHO2 25 272
NSE4 1 0
QRI7 37 442
QRI1 4 6
POL3 4 34
DUN1 28 271
GET3 17 213
BUG1 29 272
SNU23 3 4
RPN6 4 3
OPI6 9 217
PMT1 35 269
YDL094C 37 1011
PMT5 69 975
SRP14 8 184
UBX3 40 647
RAM1 7 43
NUR1 46 401
ASM4 31 346
LUC7 9 50
YDL086W 48 924
YDL086C-A 23 426
YDL085C-A 14 119
NDE2 46 739
SUB2 1 0
RPS16B 16 132
RPL13A 14 58
RPP1A 7 15
THI3 37 534
MRK1 70 735
MDH3 35 289
VAM6 17 159
RXT3 21 124
RPL31A 2 1
BRE1 9 34
YDL073W 53 701
YET3 17 189
YDL071C 55 593
BDF2 40 259
CBS1 25 183
YDL068W 16 102
COX9 3 35
IDP1 31 326
PEX19 41 451
UBC9 1 0
SYO1 25 253
YDL062W 10 40
RPS29B 2 1
TSR1 0 0
RAD59 42 207
USO1 43 587
YDL057W 57 743
MBP1 49 724
PSA1 3 8
MCH1 105 2215
PBP4 25 173
SLC1 56 931
LHP1 73 912
YDL050C 33 407
KNH1 73 1242
STP4 80 1042
SIT4 14 148
NPC2 25 169
MRP10 10 55
FAD1 1 0
MTF2 37 337
PRP11 8 80
SIR2 86 676
YDL041W 37 261
NAT1 55 641
PRM7 49 456
BSC1 22 486
PUS9 41 454
GPR1 48 665
YDL034W 14 225
SLM3 100 1803
YDL032W 20 88
DBP10 9 22
PRP9 18 138
ARP2 1 0
MPS1 10 107
YDL027C 52 590
YDL026W 25 286
RTK1 69 954
YDL025W-A 3 25
DIA3 71 1009
YDL022C-A 32 659
YDL023C 24 273
GPD1 79 1109
GPM2 84 1417
RPN4 101 1114
OSH2 238 4750
ERP3 26 481
CDC7 17 181
YDL016C 22 245
TSC13 0 0
NOP1 0 0
SLX5 32 180
YDL012C 64 963
YDL011C 41 524
GRX6 67 826
YDL009C 27 152
APC11 14 361
YDL007C-A 30 271
RPT2 0 0
PTC1 3 2
MED2 80 709
ATP16 14 119
MCD1 16 192
NHP10 84 1111
RMD1 284 10436
NTH1 395 9622
YRB1 3 2
RCR2 152 2028
YDR003W-A 21 263
RAD57 141 1435
MAF1 70 1037
SOK1 192 2801
TRP1 151 1634
YDR008C 131 1867
GAL3 146 2261
YDR010C 175 7267
SNQ2 265 4863
RPL4B 34 410
PSF1 2 3
RAD61 98 843
HED1 31 378
YDR015C 14 117
DAD1 4 6
KCS1 92 836
YDR018C 140 2443
GCV1 117 2523
DAS2 80 2016
FAL1 1 0
ATG31 31 345
SES1 4 10
FYV1 77 625
RPS11A 5 7
NSI1 67 1155
VPS54 11 145
REG1 45 471
YDR029W 10 111
RAD28 73 1095
MIX14 15 105
PST2 48 645
MRH1 27 560
LYS14 33 188
YDR034C-A 7 12
YDR034W-B 12 40
ARO3 43 593
EHD3 63 719
KRS1 1 0
ENA5 23 323
ENA2 0 0
ENA1 11 129
RSM10 9 57
YDR042C 13 25
NRG1 24 221
HEM13 0 0
RPC11 0 0
BAP3 50 495
HEM12 0 0
YDR048C 26 298
VMS1 6 14
TPI1 1 0
DET1 28 550
DBF4 0 0
YDR053W 0 0
CDC34 4 14
PST1 47 283
YDR056C 30 240
YOS9 39 416
TGL2 32 172
UBC5 17 106
MAK21 22 121
YDR061W 58 722
LCB2 0 0
AIM7 12 137
RPS13 2 1
RRG1 15 72
RTR2 24 440
OCA6 21 329
DOS2 23 128
DOA4 1 0
FMP16 5 6
PAA1 3 18
IPT1 60 790
SNF11 27 249
TPS2 13 131
PPH3 14 197
RAD55 39 312
SED1 28 263
SHU2 23 264
PET100 17 145
TFB5 2 13
VPS41 8 107
PDC2 0 0
STN1 4 15
RRP8 17 138
TVP23 11 102
AFR1 33 338
SSS1 0 0
RRP1 0 0
SLU7 10 58
YDR089W 72 1141
YDR090C 22 133
RLI1 0 0
UBC13 8 39
DNF2 291 5590
YDR094W 83 1822
YDR095C 69 992
GIS1 30 236
MSH6 57 835
GRX3 29 374
BMH2 66 877
TVP15 22 179
ARX1 28 258
YDR102C 32 423
STE5 35 339
SPO71 54 701
TMS1 23 233
ARP10 34 318
TMN2 54 628
TRS85 24 151
YDR109C 39 245
FOB1 48 696
ALT2 56 736
IRC2 24 346
PDS1 15 52
YDR114C 16 119
YDR115W 9 27
MRPL1 16 134
TMA64 15 78
APC4 17 151
YDR118W-A 4 52
VBA4 66 860
COX26 6 49
TRM1 29 266
DPB4 18 48
KIN1 29 437
INO2 0 0
YDR124W 23 297
ECM18 35 195
SWF1 6 28
ARO1 14 65
MTC5 60 559
SAC6 11 58
FIN1 21 212
YDR131C 32 325
YDR132C 29 273
YDR133C 2 2
YCF1 39 413
VPS61 37 748
RGP1 3 5
HPR1 23 258
RUB1 7 19
MTQ2 5 20
DOP1 2 2
PEX7 17 191
SAN1 33 433
MKC7 22 136
TAF12 6 13
SWI5 44 355
EKI1 29 414
KGD2 26 140
YDR149C 10 28
NUM1 57 606
CTH1 12 96
GIR2 11 163
ENT5 20 85
YDR154C 9 49
CPR1 11 180
RPA14 18 198
YDR157W 40 607
HOM2 16 103
SAC3 25 116
SSY1 0 0
YDR161W 6 67
NBP2 4 6
